id,model,noMesin,noRangka,noPolisi,deliveryDate
762,AVANZA 1.3,1NRF275743,MHKM5EA3JHK066432,,2017-05-29
763,HILUX DOUBLE CABIN 2.4 DIESEL,2GD0385712,MR0DB8CD1H0173077,,2018-06-29
764,AVANZA 1.3,1NRF240245,MHKM5EA3JHK054063,,2017-03-22
764,AVANZA 1.3,1NRF245167,MHKM5EA3JHK055990,,2017-03-22
764,AVANZA 1.3,1NRF239400,MHKM5EA3JHK053679,,2017-03-22
765,AVANZA 1.3 VELOZ A/T,-,MHKM5EB4JKK012625,,2020-05-11
766,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8L1210779,,2020-03-16
767,DYNA 130 HT ,-,MHFC1JU43G5142951,,2017-07-07
767,DYNA 130 HT,-,MHFC1JU43H5153900,,2017-07-17
767,DYNA 130 HT,-,MHFC1JU43H5153904,,2017-07-17
767,DYNA 130 HT,-,MHFC1JU43H5153953,,2017-07-25
767,DYNA 130 HT,-,MHFC1JU43H5153954,,2017-07-25
767,DYNA 130 HT,-,MHFC1JU43H5153957,,2017-07-25
768,DYNA,-,MHFC1JU43G5137477.,,2017-11-23
768,DYNA,-,MHFC1JU43G5137706,,2017-09-11
768,DYNA,-,MHFC1JU43G5137477,,2017-10-11
768,DYNA,-,MJEC1JU43H5161440,,2017-11-20
768,DYNA,-,MJEC1JU43H5161558,,2017-11-20
768,DYNA,-,MJEC1JU43H5161559,,2017-11-20
768,DYNA,-,MJEC1JU43H5161645,,2017-11-20
769,DYNA,-,MHFC1JU43G5139378,,2017-09-15
769,INNOVA,-,MHFGW8EM0H1014904,,2017-09-16
769,INNOVA,-,MHFGW8EM1H1015611,,2017-09-17
770,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD3L1210480,,2020-04-04
771,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ008757,,2020-03-16
772,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6K0208387,,2020-08-12
773,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166709,,2020-07-20
773,AVANZA,-,MHKM5EA3JJK122056,,2019-01-12
773,"AVANZA 1.3 G M/T
",-,MHKM5EA3JKK136315,,2019-12-06
774,AVANZA ,-,MHKM5FA4JKK051156,,2019-04-29
774,AVANZA,-,MHKM5FA4JKK051265,,2019-04-29
775,INNOVA BENSIN,1TRA422976,MHFJW8EM2J2346106,,2018-04-16
776,HILUX,-,MR0EW8BB4J0207589,,2019-02-23
777,FORTUNER,-,MHFHB3FSXG0034713,,2016-12-08
777,FORTUNER,-,MHFHB3FS1G0034714,,2016-12-08
778,HIACE,-,JTFSS22P2H0166127,,2017-08-31
778,HIACE,-,JTFSS22P8H0165967,,2017-08-31
778,HILUX DOUBLE CABIN,-,MR0KS8CD8H1036056,,2017-08-31
778,INNOVA,-,MHFAW8EM9H0207015,,2017-08-31
779,FORTUNER 4X4 DIESEL VRZ A/T,-,MHFHB3FS0K0036348,,2019-11-14
779,FORTUNER 4X4 DIESEL VRZ A/T,-,MHFHB3FS9K0036333,,2019-11-14
780,FORTUNER 4X2 BENSIN SRZ A/T,-,MHFGX8GS1K0506489,,2019-12-19
780,CAMRY,-,MR2BF3HK1K4006599,,2019-11-28
781,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ007570,,2020-02-24
782,INNOVA BENSIN,1TRA422351,MHFGW8EM7J1019345,,2018-03-19
783,AVANZA 1.3,-,MHKM5EA3JLK172779,,2020-11-24
783,INNOVA BENSIN G M/T,-,MHFJW8EMXK2378609,,2020-01-13
784,RUSH 1.5,2NRF645978,MHKE8FA3JJK001754,,2018-03-12
784,INNOVA DIESEL,2GD4569426,MHFGB8EM0J0423704,,2018-11-26
784,AGYA 1.2 M/T,-,MHKA4GA5JHJ004134,,2017-07-17
785,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ010368,,2020-05-11
786,HILUX,-,MR0KS8CD3H1036336,,2017-09-28
787,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ007416,,2020-05-31
788,CALYA 1.2 E M/T,-,MHKA6GJ3JKJ600780,,2020-02-27
789,AGYA 1.2 G M/T TRD,-,MHKA4GB5JKJ026870,,2019-09-10
790,YARIS ,-,MHFK23F31J2036456,,2019-07-24
790,INNOVA,-,MHFJW8EM5J2364437,,2019-01-19
791,INNOVA BENSIN G M/T,-,MHFJW8EM0L2380628,,2020-02-27
792,HILUX PICK UP 2.4 DIESEL,-,MR0FB8CB4K0310964,,2019-11-27
792,HILUX PICK UP 2.4 DIESEL,-,MR0FB8CB8K0310997,,2019-11-27
793,AVANZA,-,MHKM5FA4JGK021121,,2016-12-22
793,FORTUNER,-,MHFHB3FS5G0034733,,2016-12-22
793,AVANZA,-,MHKM5FA4JGK021137,,2016-12-22
793,INNOVA,-,MHFAW8EMXG0204607,,2016-12-22
793,AVANZA,-,MHKM5FA4JGK021307,,2016-12-22
793,INNOVA,-,MHFAW8EM2G0203810,,2016-12-31
793,FORTUNER,-,MHFHB3FS9G0034508,,2016-12-31
793,INNOVA,-,MHFAW8EM8G0204623,,2016-12-31
793,FORTUNER,-,MHFHB3FS0G0034736,,2016-12-31
793,AVANZA,-,MHKM5EA3JGK024379,,2016-12-09
793,HILUX DOUBLE CABIN,-,MR0KS8CDXG1035277,,2016-12-09
793,AVANZA,-,MHKM5FA4JGK021224,,2016-12-09
793,FORTUNER,-,MHFHB3FS9G0034721,,2016-12-09
793,INNOVA,-,MHFAW8EM3G0204450,,2016-12-09
793,AVANZA,-,MHKM5FA4JGK021180,,2016-12-09
793,AVANZA,-,MHKM5FA4JGK021320,,2016-12-09
793,FORTUNER,-,MHFHB3FS0G0034722,,2016-12-09
793,HILUX PICK UP,-,MR0EW8BB2G0203310,,2016-12-09
793,INNOVA,-,MHFAW8EMXG0204154,,2016-12-09
793,INNOVA,-,MHFAW8EM0G0204387,,2016-12-09
793,HILUX DOUBLE CABIN,-,MR0KS8CD3G1103452,,2016-12-09
793,HILUX DOUBLE CABIN,-,MR0KS8CD4G1035209,,2016-12-09
