id,model,noMesin,noRangka,noPolisi,deliveryDate
678,INNOVA BENSIN G M/T,-,MHFJW8EMXK2373877,,2019-10-09
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8K1122197,,2019-10-14
678,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BBXK0208571,,2019-10-14
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD2K1209626,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD6K1209564,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD3K1122608,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD5K1122609,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD5K1209538,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD6K1122649,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB0K0208594,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB0K0208661,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB0K0208675,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB2K0208497,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB3K0208654,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB5K0208543,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB6K0208423,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB7K0208558,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB7K0208611,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB7K0208625,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB8K0208567,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB8K0208570,,2019-09-30
678,"HILUX PICK UP 2.0 BENSIN STD M/T
",-,MR0EW8BB8K0208665,,2019-09-30
678,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD1K1122252,,2019-12-31
