id,model,noMesin,noRangka,deliveryDate
281,FORTUNER,-,MHFJB8GS4K1563414,3/26/2019
282,INNOVA,-,MHFJW8EM8K2368466,3/26/2019
283,RUSH,-,MHKE8FA3JKK025348,3/26/2019
284,AGYA,-,MHKA4GA5JJJ021862,3/28/2019
285,FORTUNER,-,MHFGX8GSXJ0504772,3/28/2019
286,RUSH,-,MHKE8FB3JKK022968,3/28/2019
287,HILUX,-,MR0KB8CD8J1119685,3/29/2019
288,HILUX,-,MR0EW8BB2J0207574,3/29/2019
289,AVANZA,-,MHKM5FA4JKK049683,3/30/2019
290,AGYA,-,MHKA4GA5JKJ030243,3/30/2019
291,HILUX,-,MR0EW8BB5J0207410,3/30/2019
292,YARIS,-,MHFK23F32J2040855,3/30/2019
293,INNOVA,-,MHFAW8EM4K0212372,2/9/2019
294,YARIS,-,MHFK23F30K2056277,2/9/2019
295,AVANZA,-,MHKM5EA3JJK127042,2/11/2019
296,AVANZA ,-,MHKM5FA4JKK048960,2/11/2019
297,RUSH ,-,MHKE8FA3JJK017120,2/11/2019
298,AVANZA ,-,MHKM5FA4JJK048679,2/13/2019
299,RUSH ,-,MHKE8FA2JJK005190,2/13/2019
300,AGYA ,-,MHKA4DA3JHJ114854,2/14/2019
301,AVANZA,-,MHKM5EA3JJK126910,2/16/2019
302,INNOVA,-,MHFJW8EM4K2365516,2/16/2019
303,AVANZA,-,MHKM5EA3JKK129697,2/20/2019
304,INNOVA,-,MHFJW8EM6K2366358,2/20/2019
305,RUSH,-,MHKE8FA2JJK003607,2/22/2019
306,AVANZA ,-,MHKM5FA4JKK049494,2/25/2019
307,CALYA ,-,MHKA6GJ6JKJ107226,2/25/2019
308,AVANZA ,-,MHKM5EA3JJK128252,2/26/2019
309,AGYA,-,MHKA4GA5JKJ029958,2/27/2019
310,AVANZA ,-,MHKM5FA4JKK049041,2/27/2019
311,CALYA ,-,MHKA6GJ6JJJ071831,2/27/2019
312,INNOVA ,-,MHFJW8EM4K2365693,2/27/2019
313,YARIS ,-,MHFK23F30J2053698,2/27/2019
314,AGYA ,-,MHKA4GB5JKJ020927,2/28/2019
315,AVANZA ,-,MHKM5EA3JKK133891,2/28/2019
316,CALYA ,-,MHKA6GJ6JKJ104528,2/28/2019
317,INNOVA ,-,MHFJW8EM9K2366435,2/28/2019
318,INNOVA,-,MHFGW8EMXJ1024314,2/28/2019
319,HILUX,-,MR0EW8BB2J0207297,1/5/2019
320,AGYA,-,MHKA4GB5JJJ018375,1/10/2019
321,AGYA,-,MHKA4GA5JJJ023097,1/12/2019
322,AVANZA ,-,MHKM5FA4JJK047985,1/15/2019
323,AVANZA ,-,MHKM5FA4JJK048126,1/16/2019
324,AGYA ,-,MHKA4GB5JJJ019936,1/18/2019
325,RUSH,-,MHKE8FA3JJK018043,1/21/2019
326,AGYA ,-,MHKA4GA5JJJ021422,1/22/2019
327,AVANZA ,-,MHKM5FA4JJK048027,1/22/2019
328,AVANZA ,-,MHKM5EA3JJK127876,1/23/2019
329,RUSH,-,MHKE8FA3JJK022286,1/25/2019
330,AGYA ,-,MHKA4GA5JJJ012365,1/28/2019
331,AVANZA ,-,MHKM5EA3JJK128218,1/28/2019
332,AVANZA ,-,MHKM5EA3JJK119034,1/28/2019
333,AVANZA ,-,MHKM5EA3JJK127923,1/29/2019
334,CALYA ,-,MHKA6GJ6JHJ061546,1/29/2019
335,YARIS ,-,MHFK23F38J2052704,1/29/2019
336,FORTUNER ,-,MHFGB8GS8J0885746,1/30/2019
337,AVANZA ,-,MHKM5EA3JJK128651,1/31/2019
338,CALYA ,-,MHKA6GJ6JJJ091244,1/31/2019
339,CALYA ,-,MHKA6GJ6JJJ091782,1/31/2019
340,HILUX,-,MR0EW8BB4J0207396,1/31/2019
341,INNOVA,-,MHFJW8EM2J2364640,1/31/2019
342,RUSH ,-,MHKE8FA3JJK016998,1/31/2019
343,RUSH ,-,MHKE8FA3JJK015532,1/31/2019
344,RUSH 1.5,3SZ - DFY8695,MHFE2CJ3JGK118268,10/5/2016
345,HILUX PICK UP 2.5 DIESEL,2KD - U906840,MR0ES8BB8G0061959,10/6/2016
346,INNOVA BENSIN,1TR - A163158,MHFJW8EM6G2315272,10/6/2016
347,AVANZA 1.3,1NR - F166148,MHKM5EA3JGK026043,10/11/2016
348,AGYA 1.0,1KR - A278710,MHKA4DA3JGJ089518,10/12/2016
349,CALYA 1.2,3NR-H028324,MHKA6GJ6JGJ008159,10/12/2016
350,FORTUNER 4X4 DIESEL,2GD - C069903,MHFHB3FS3G0034469,10/13/2016
351,YARIS S,1NZ - Z445591,MHFKT9F34G6086270,10/13/2016
352,RUSH 1.5,3SZ - DFZ1600,MHFE2CJ3JGK118854,10/14/2016
353,CALYA 1.2,3NR - H024965,MHKA6GJ6JGJ006977,10/15/2016
354,RUSH 1.5,3SZ - DFZ2963,MHFE2CJ3JGK119044,10/15/2016
355,AVANZA 1.5,2NR - F567650,MHKM5FA4JGK019947,10/19/2016
356,AVANZA 1.3,1NR - F167751,MHKM5EA3JGK026521,10/20/2016
357,HILUX DOUBLE CABIN 2.5 DIESEL,2KD - U914984,MR0KS8CD1G1103188,10/20/2016
358,CALYA 1.2,3NR - H018274,MHKA6GK6JGJ004472,10/20/2016
359,AVANZA 1.5,2NR - F564696,MHKM5FA4JGK019268,10/21/2016
360,INNOVA BENSIN,1TR - A176615,MHFJW8EM0G2317065,10/21/2016
361,RUSH 1.5,3SZ - DFZ3030,MHFE2CJ3JGK119016,10/21/2016
362,AVANZA 1.5,2NR - F564812,MHKM5FA3JGK002795,10/22/2016
363,INNOVA BENSIN,1TR - A161077,MHFJW8EMXG2314934,10/22/2016
364,AVANZA 1.5,2NR - F565238,MHKM5FA4JGK019348,10/22/2016
365,INNOVA BENSIN,1TR - A147303,MHFGW8EM9G1007108,10/22/2016
366,AGYA 1.0,1KR - A311483,MHKA4DA3JGJ098519,10/24/2016
367,AVANZA 1.5,2NR - F566226,MHKM5FA3JGK002854,10/24/2016
368,YARIS S,1NZ - Z457918,MHFKT9F30G6088873,10/24/2016
369,RUSH 1.5,3SZ - DFZ4429,MHFE2CJ3JGK119424,10/24/2016
370,INNOVA BENSIN,1TR - A152114,MHFJW8EM5G2313903,10/27/2016
371,INNOVA BENSIN,1TR - A184252,MHFAW8EM0G0204180,10/28/2016
372,INNOVA BENSIN,1TR - A158202,MHFGW8EM0G1007630,10/28/2016
373,HILUX EXTRA CABIN 2.5 DIESEL,2KD - U808138,MR0DS8CC7F0230502,10/29/2016
374,AVANZA 1.3,1NR-F177474.,MHKM5EA3JGK029930.,10/29/2016
375,AVANZA 1.3,1NR - F174152,MHKM5EA3JGK028785,10/31/2016
376,AVANZA 1.5,2NR - F565010,MHKM5FA4JGK019337,10/31/2016
377,AVANZA 1.3,1NR - F174311,MHKM5EA3JGK028755,10/31/2016
378,AVANZA 1.5,2NR - F563200,MHKM5FA3JGK002732,10/31/2016
379,AVANZA 1.5,2NR-F568855.,MHKM5FA3JGK002933.,10/31/2016
380,CALYA 1.2,3NR-H039616,MHKA6GJ6JGJ012657,10/31/2016
381,AGYA 1.0,1KR - A306242,MHKA4DA3JGJ097023,10/31/2016
382,HILUX DOUBLE CABIN 2.5 DIESEL,2KD-U923813,MR0KS8CD1G1035216,10/31/2016
383,AVANZA 1.5,-,MHKM5FB4JGK008843,11/1/2016
384,AVANZA 1.5,-,MHKM5FA3JGK002829,11/2/2016
385,AVANZA 1.5,-,MHKM5FA4JGK020351,11/2/2016
386,AVANZA 1.3,-,MHKM5EA3JGK028752,11/4/2016
387,SIENTA 1.5,-,MHFZ28H33G0012608,11/7/2016
388,AGYA 1.0,-,MHKA4DB3JGJ064719,11/8/2016
389,AGYA 1.0,-,MHKA4DA3JGJ092473,11/9/2016
390,AVANZA 1.3,-,MHKM5EA4JGK014884,11/11/2016
391,INNOVA BENSIN,-,MHFJW8EM1G2320198,11/12/2016
392,CALYA 1.2,-,MHKA6GJ6JGJ013980,11/12/2016
393,AVANZA 1.3,-,MHKM5EA3JGK028300,11/12/2016
394,CALYA 1.2,-,MHKA6GJ6JGJ012813,11/12/2016
395,AGYA 1.0,-,MHKA4DA3JGJ085996,11/14/2016
396,AGYA 1.0,-,MHKA4DA3JGJ089661,11/17/2016
397,INNOVA BENSIN,-,MHFGW8EM5G1006988,11/21/2016
398,AVANZA 1.3,-,MHKM5EA3JGK028895,11/21/2016
399,INNOVA BENSIN,-,MHFJW8EM0G2319866,11/21/2016
400,RUSH 1.5,-,MHFE2CJ3JGK119364,11/22/2016
401,FORTUNER 4X2 DIESEL,-,MHFGB8GS9G0821756,11/23/2016
402,RUSH 1.5,-,MHFE2CJ3JGK119464,11/23/2016
403,CALYA 1.2,-,MHKA6GJ6JGJ011492,11/24/2016
404,RUSH 1.5,-,MHFE2CK3JGK039587,11/24/2016
405,AVANZA 1.3,-,MHKM5EA3JGK032979,11/24/2016
406,INNOVA BENSIN,-,MHFGW8EM2G1007497,11/25/2016
407,CALYA 1.2,-,MHKA6GJ6JGJ016617,11/26/2016
408,AVANZA 1.3,-,MHKM5EA3JGK032671,11/28/2016
409,ETIOS E,-,MHFK39BT9G2029995,11/29/2016
410,AVANZA 1.3,-,MHKM5EA3JGK033440,11/29/2016
411,INNOVA BENSIN,-,MHFGW8EM7G1007365.,11/29/2016
412,AVANZA 1.5,-,MHKM5FA4JGK021520,11/29/2016
413,AVANZA 1.5,-,MHKM5FA3JGK002551,11/30/2016
414,AVANZA 1.3,-,MHKM5EA3JGK028350,11/30/2016
415,DYNA,-,MHFC1JU43G5143505,12/5/2016
416,RUSH,-,MHFE2CJ3JGK122012,12/10/2016
417,CALYA,-,MHKA6GJ6JGJ016187,12/13/2016
418,AGYA,-,MHKA4DA3JGJ086798,12/13/2016
419,FORTUNER,-,MHFGB8GS5G0828137,12/14/2016
420,AGYA,-,MHKA4DA3JGJ090248,12/15/2016
421,RUSH,-,MHFE2CJ2JGK056096,12/17/2016
422,AVANZA,-,MHKM5EA3JGK036240,12/17/2016
423,FORTUNER,-,MHFKB8FS9G0086191,12/19/2016
424,AGYA,-,MHKA4DA3JGJ093285,12/20/2016
425,DYNA,-,MHFC1JU43G5147107,12/20/2016
426,YARIS,-,MR054HY91C46XXXXX,3/1/2013
427,RUSH,-,MHFE2CJ3JGK124135,12/21/2016
428,CALYA ,-,MHKA6GJ6JGJ018374,12/21/2016
429,AVANZA,-,MHKM5EA3JGK034263,12/21/2016
430,AVANZA,-,MHKM5FA4JGK020935,12/22/2016
431,AVANZA,-,MHKM5EA3JGK037366,12/23/2016
432,AVANZA,-,MHKM5EA3JGK037842,12/23/2016
433,AVANZA,-,MHKM5EA3JGK036272,12/23/2016
434,AVANZA,-,MHKM5EA3JGK033490,12/24/2016
435,RUSH,-,MHFE2CJ3JGK123857,12/28/2016
436,RUSH,-,MHFE2CJ3JGK122423,12/28/2016
437,ETIOS,-,MHFK39BT1G2031269,12/28/2016
438,AVANZA,-,MHKM5EA3JGK041971,12/30/2016
439,AVANZA,-,MHKM5FA4JGK022252,12/30/2016
440,HILUX,-,MR0EW8BB5G0203446,12/30/2016
441,AVANZA,-,MHKM5FA4JGK022411,12/31/2016
442,RUSH,-,MHFE2CJ3JGK122580,12/31/2016
443,INNOVA,-,MHFJW8EM3G2322633,12/31/2016
444,AVANZA,-,MHKM5EA3JGK037677,12/31/2016
445,RUSH,-,MHFE2CJ3JGK122059,12/31/2016
446,AVANZA,-,MHKM5EA3JGK037552,12/31/2016
447,INNOVA,-,MHFJW8EM4G2321975,12/31/2016
448,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ135230,2/7/2020
449,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ133987,2/11/2020
450,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ006481,2/12/2020
451,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK043660,2/12/2020
452,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ006107,2/13/2020
453,DYNA 130 HT Hi FG P/S,-,MJEC1JU43J5167447,2/14/2020
454,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062214,2/17/2020
455,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ129945,2/17/2020
456,AVANZA 1.3 VELOZ M/T,-,MHKM5EA4JKK034541,2/19/2020
457,CALYA 1.2 G M/T,-,MHKA6GJ6JKJ135353,2/19/2020
458,INNOVA BENSIN G M/T,-,MHFJW8EM3L2379862,2/19/2020
459,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK043863,2/19/2020
460,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ007538,2/22/2020
461,AVANZA 1.3 G M/T,-,MHKM5EA3JLK162812,2/24/2020
462,HILUX PICK UP 2.5 DIESEL M/T,-,MR0ES8BB2K0065191,2/24/2020
463,INNOVA BENSIN G M/T,-,MHFJW8EM9L2379932,2/25/2020
464,HILUX DOUBLE CABIN 2.4 DIESEL V A/T,-,MR0HB3CD2L0333822,2/27/2020
465,INNOVA BENSIN G M/T,-,MHFJW8EM6L2379953,2/28/2020
466,INNOVA BENSIN VENTURER M/T,-,MHFAW8EM3L0214874,2/28/2020
467,AVANZA 1.3 G M/T,-,MHKM5EA3JLK164311,2/29/2020
468,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062330,2/29/2020
469,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062615,2/29/2020
470,INNOVA G A/T,-,MHFJW8EM3L2379599,2/29/2020
471,INNOVA BENSIN V M/T,-,MHFGW8EM0L1029959,2/29/2020
472,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062516,3/6/2020
473,AVANZA 1.3 G M/T,-,MHKM5EA3JLK165033,3/7/2020
474,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ007817,3/12/2020
475,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062916,3/13/2020
476,CALYA 1.2 G A/T,-,MHKA6GK6JLJ602580,3/13/2020
477,YARIS S M/T TRD,-,MHFK23F34L2097657,3/13/2020
478,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLJ006926,3/14/2020
479,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLJ006887,3/16/2020
480,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLJ006022,3/16/2020
481,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ008359,3/17/2020
482,INNOVA BENSIN G M/T,-,MHFJW8EM6L2380875,3/18/2020
483,INNOVA BENSIN V M/T,-,MHFGW8EM7L1030199,3/19/2020
484,INNOVA BENSIN G M/T,-,MHFJW8EMXL2380068,3/20/2020
485,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ008597,3/20/2020
486,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063386,3/23/2020
487,AVANZA 1.3 G M/T,-,MHKM5EA3JKK160464,3/30/2020
488,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166726,3/31/2020
489,FORTUNER 4X2 DIESEL VRZ A/T TRD,-,MHFGB8GSXL0911878,3/31/2020
490,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ008465,4/2/2020
491,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ606453,4/6/2020
492,AGYA 1.2 G A/T TRD,-,MHKA4GB5JKJ029738,4/9/2020
493,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JKJ004934,4/9/2020
494,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ008195,4/11/2020
495,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063373,4/14/2020
496,FORTUNER 4X2 DIESEL VRZ A/T,-,MHFGB8GS2L0908442,4/16/2020
497,AVANZA 1.3 G M/T,-,MHKM5EA3JLK165949,4/17/2020
498,INNOVA BENSIN V M/T,-,MHFGW8EM8L1030647,4/17/2020
499,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063600,4/18/2020
500,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLJ008587,4/21/2020
501,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ009700,4/21/2020
502,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ605849,4/29/2020
503,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD4L1210553,4/29/2020
504,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ009403,4/30/2020
505,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK044436,5/5/2020
506,AVANZA 1.3 VELOZ A/T,-,MHKM5EB4JKK012522,5/6/2020
507,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064217,5/9/2020
508,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064721,5/11/2020
509,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063417,5/13/2020
510,YARIS S M/T TRD,-,MHFK23F38L2106408,5/16/2020
511,YARIS S CVT TRD,-,MHFK23F36L2107458,5/18/2020
512,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ009777,5/19/2020
513,AGYA 1.2 G M/T TRD,-,MHKA4GA5JLJ044773,5/28/2020
514,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063788,6/8/2020
515,CALYA 1.2 G A/T,-,MHKA6GK6JLJ602472,6/17/2020
516,AVANZA 1.3 G M/T,-,MHKM5EA3JLK167133,6/19/2020
517,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ605968,6/20/2020
518,CALYA 1.2 G A/T,-,MHKA6GK6JLJ603456,6/22/2020
519,AGYA 1.2 G M/T TRD,-,MHKA4GA5JLJ045631,6/23/2020
520,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ605783,7/9/2020
521,AGYA 1.2 G A/T TRD,-,MHKA4GB5JLJ033920,7/21/2020
522,INNOVA BENSIN V M/T,-,MHFGW8EM7L1030719,7/21/2020
523,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ606894,7/23/2020
524,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JLK027523,7/28/2020
525,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD4L1210570,7/28/2020
526,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLK044782,7/28/2020
527,CALYA 1.2 G A/T,-,MHKA6GK6JLJ060535,7/29/2020
528,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062837,8/8/2020
529,AVANZA 1.3 VELOZ M/T,-,MHKM5EA4JLK036169,8/14/2020
530,FORTUNER 4X2 DIESEL VRZ A/T TRD,-,MHFGB8GSXL0913811,8/14/2020
531,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064862,8/26/2020
532,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064839,8/26/2020
533,AGYA 1.2 G M/T TRD,-,MHKA4GA5JLJ042665,8/31/2020
534,INNOVA BENSIN G M/T,-,MHFJW8EM6L2383422,9/4/2020
535,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ606148,9/10/2020
536,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166817,9/11/2020
537,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064159,9/21/2020
538,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166956,9/23/2020
539,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ010139,9/23/2020
540,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ010234,9/24/2020
541,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166304,9/30/2020
542,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166734,9/30/2020
543,AGYA 1.2 ,-,MHKA4GA5JLJ046932,10/9/2020
544,CALYA 1.2 ,-,MHKA6GJ6JLJ608674,10/9/2020
545,FORTUNER 4X2 DIESEL VRZ A/T,-,MHFGB8GS2L0914550,10/12/2020
546,RUSH 1.5 TRD Sportivo M/T,-,MHKE8FA3JLJ012951,10/24/2020
547,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLJ011104,10/27/2020
548,CALYA 1.2,-,MHKA6GJ6JLJ608942,10/30/2020
549,RUSH 1.5,-,MHKE8FB3JLJ011808,11/4/2020
550,AGYA 1.2,-,MHKA4GB5JLJ035618,11/5/2020
551,AVANZA 1.3,-,MHKM5EA3JLK172785,11/10/2020
552,INNOVA BENSIN,-,MHFJW8EM6L2384117,11/11/2020
553,CALYA 1.2,-,MHKA6GK6JLJ604396,11/12/2020
554,INNOVA BENSIN,-,MHFAW8EM8L0215356,11/12/2020
555,RUSH 1.5,-,MHKE8FA3JLJ013027,11/12/2020
556,CALYA 1.2,-,MHKA6GJ6JLJ610487,11/13/2020
557,AGYA 1.2,-,MHKA4GA5JLJ048216,11/17/2020
558,CALYA 1.2,-,MHKA6GJ6JLJ610711,11/17/2020
559,AVANZA 1.3,-,MHKM5EA3JLK172558,11/19/2020
560,RUSH 1.5,-,MHKE8FA3JLJ013049,11/20/2020
