id,model,noMesin,noRangka,deliveryDate
636,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK062042,1/30/2020
637,AGYA 1.2 G M/T TRD,-,MHKA4GA5JLJ045275,8/24/2020
638,AVANZA 1.3 G M/T,-,MHKM5EA3JLK166456,9/15/2020
639,CALYA 1.2 G A/T,-,MHKA6GK6JKJ059032,1/9/2020
640,AVANZA  ,-,MHKM1CA4JCK0XXXXX,2/1/2013
641,HILUX,-,MR0EW8BB9H0203855,8/31/2017
642,CALYA 1.2,3NRH061619,MHKA6GJ6JGJ021638,1/10/2017
643,AVANZA 1.3 G M/T,-,MHKM5EA3JKK160474,1/31/2020
644,INNOVA BENSIN G M/T,-,MHFJW8EM4L2380373,3/17/2020
645,HILUX PICK UP 2.4 DIESEL STD M/T,-,MHKE8FA3JLJ013052,10/28/2020
646,AVANZA 1.3,1NRF369819,MHKM5EA3JJK093841,2/27/2018
647,"AVANZA 1.3 G M/T
",-,MHKM5EA3JKK154436,12/6/2019
